City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,copala,16.65,-98.9833,27.17,81,92,1.82,MX,1690331577
214,saint-joseph,-21.3667,55.6167,19.21,80,0,1.91,RE,1690331577
215,belmonte,-15.8631,-38.8828,22.2,89,56,2.99,BR,1690331578
216,bambamarca,-6.6833,-78.5333,12.07,93,98,1.22,PE,1690331579
217,constantia,44.1833,28.65,24.38,74,6,10.34,RO,1690331579
218,arkalyk,50.2486,66.9114,23.36,38,100,5.5,KZ,1690331580
219,fada,9.5667,8.3,19.87,97,67,0.88,NG,1690331580
220,pathein,16.7833,94.7333,25.97,91,96,1.92,MM,1690331581
221,loukhi,66.0764,33.0381,8.89,97,12,1.18,RU,1690331581
222,huicheng,23.0385,116.2899,30.92,68,99,2.09,CN,1690331582
223,ngama,11.7833,17.1667,27.52,54,100,5.08,TD,1690331582
224,las palmas,28.4204,-14.0131,22.44,69,100,7.72,ES,1690331582
225,las khorey,11.1595,48.1967,31.51,54,7,6.44,SO,1690331583
226,dien bien phu,21.3833,103.0167,25.78,88,95,0.69,VN,1690331584
227,olyokminsk,60.3736,120.4264,26.7,49,8,1.89,RU,1690331502
228,howard springs,-12.497,131.047,20.46,36,20,4.23,AU,1690331584
229,vilyuchinsk,52.9306,158.4028,22.15,68,80,2.31,RU,1690331585
230,brisas de zicatela,15.8369,-97.0419,28.29,74,100,2.57,MX,1690331585
231,taltal,-25.4,-70.4833,15.89,76,5,2.17,CL,1690331586
232,campo maior,-4.8278,-42.1686,28.69,37,100,1.66,BR,1690331586
233,quellon,-43.1167,-73.6167,7.47,84,94,2.28,CL,1690331586
234,tofol,5.3248,163.0078,28.88,79,75,1.54,FM,1690331587
235,aliade,7.2964,8.487,23.54,91,100,1.87,NG,1690331587
236,yuzhno-kurilsk,44.0306,145.8556,22.24,82,51,1.15,RU,1690331587
237,tuy hoa,13.0833,109.3,29.44,67,50,6.88,VN,1690331404
238,anori,-3.7728,-61.6442,26.29,49,52,0.8,BR,1690331588
239,west bay,19.3667,-81.4167,30.04,85,75,2.57,KY,1690331589
240,meadow lakes,61.6247,-149.6011,20.97,71,100,2.57,US,1690331589
241,selfoss,63.9331,-20.9971,11.69,87,100,1.91,IS,1690331590
242,nyrob,60.733,56.7202,13.31,96,99,1.68,RU,1690331590
243,greymouth,-42.4667,171.2,9.12,69,10,1.35,NZ,1690331359
244,chabahar,25.2919,60.643,29.17,81,100,3.63,IR,1690331591
245,sambava,-14.2667,50.1667,19.6,88,22,3.72,MG,1690331591
246,poplar bluff,36.757,-90.3929,30.88,66,0,4.63,US,1690331592
247,tucuma,-0.1833,-50.05,25.18,84,84,2.79,BR,1690331592
248,san sebastian de la gomera,28.0916,-17.1133,23.54,83,0,2.06,ES,1690331593
249,fort st. john,56.2499,-120.8529,12.94,82,100,6.17,CA,1690331593
250,sitka,57.0531,-135.33,16.94,77,100,3.09,US,1690331593
251,ramotswa,-24.8716,25.8699,11.79,86,4,3.94,BW,1690331594
252,chauk,20.8833,94.8167,27.59,77,65,6.76,MM,1690331594
253,cabo san lucas,22.8909,-109.9124,33.67,71,97,4.42,MX,1690331594
254,ogwashi-uku,6.1782,6.5243,22.7,96,100,1.62,NG,1690331595
255,shenjiamen,29.9576,122.298,26.48,90,100,5.08,CN,1690331595
256,la gi,10.6667,107.7833,26.63,86,98,5.01,VN,1690331500
257,sao gabriel da cachoeira,-0.1303,-67.0892,23.38,97,91,1.17,BR,1690331595
258,lapeer,43.0514,-83.3188,27.08,65,0,1.54,US,1690331596
259,paraiso,9.8383,-83.8656,21.48,82,100,1.39,CR,1690331596
260,ancud,-41.8697,-73.8203,7.95,83,35,3.04,CL,1690331596
261,katsuura,35.1333,140.3,28.52,74,66,2.45,JP,1690331597
262,gwadar,25.1216,62.3254,28.47,86,95,3.37,PK,1690331597
263,walvis bay,-22.9575,14.5053,12.27,93,0,3.6,NA,1690331598
264,kentau,43.5206,68.5094,29.87,20,0,4.4,KZ,1690331598
265,show low,34.2542,-110.0298,28.38,29,0,6.69,US,1690331598
266,papao,-17.75,-149.55,28.82,84,0,8.51,PF,1690331599
267,letlhakeng,-24.0944,25.0298,10.91,88,0,5.08,BW,1690331599
268,pisco,-13.7,-76.2167,19.03,77,0,6.69,PE,1690331600
269,lib,8.3122,167.3766,27.53,81,100,7.16,MH,1690331600
270,mujiayingzi,42.1167,118.7833,28.23,45,15,2.51,CN,1690331601
271,aykhal,66.0,111.5,16.63,68,100,5.35,RU,1690331601
272,colonia,50.9333,6.95,14.92,79,0,1.03,DE,1690331462
273,dewa,27.0333,81.1667,28.0,77,100,2.89,IN,1690331602
274,tera,14.0078,0.7531,31.98,50,100,5.31,NE,1690331602
275,santiago de cao,-7.9589,-79.2392,22.07,83,100,3.09,PE,1690331603
276,karwar,14.8,74.1333,24.92,88,100,5.33,IN,1690331603
277,woolgoolga,-30.1106,153.2007,17.25,62,90,4.51,AU,1690331604
278,tipasa,36.5897,2.4475,25.03,77,0,0.24,DZ,1690331604
279,trinidad,-14.8333,-64.9,23.42,61,15,0.8,BO,1690331604
280,leninskoye,41.7589,69.3864,27.8,21,0,1.64,KZ,1690331605
281,gaiman,-43.2897,-65.4929,6.9,78,23,6.5,AR,1690331605
282,bradford,53.7939,-1.7521,12.79,88,20,5.66,GB,1690331606
283,whakatane,-37.9585,176.9854,13.82,68,100,4.92,NZ,1690331606
284,tsiombe,-25.3,45.4833,16.98,60,64,3.11,MG,1690331607
285,vryheid,-27.7695,30.7917,8.56,90,93,1.75,ZA,1690331607
286,kuandian,40.7286,124.7847,22.76,94,100,1.62,CN,1690331607
287,san miguel panixtlahuaca,16.2484,-97.3843,20.86,95,100,1.36,MX,1690331608
288,staryye ozinki,51.1786,49.6769,19.12,66,17,2.76,RU,1690331608
289,inongo,-1.95,18.2667,20.41,87,33,2.05,CD,1690331609
290,carbonear,47.7332,-53.2148,19.22,97,48,1.16,CA,1690331609
291,bloomfield,40.8068,-74.1854,22.06,86,40,1.54,US,1690331610
292,qusmuryn,52.4503,64.6311,20.59,61,100,2.59,KZ,1690331611
293,zhangjiakou shi xuanhua qu,40.6103,115.0447,27.37,50,17,3.27,CN,1690331611
294,sittwe,20.15,92.9,27.52,84,100,5.89,MM,1690331611
295,hampton bays,40.869,-72.5176,22.26,92,75,4.12,US,1690331612
296,touros,-5.1989,-35.4608,23.0,83,24,5.69,BR,1690331612
297,gunjur,13.2019,-16.7339,26.39,87,100,2.87,GM,1690331612
298,vilyuysk,63.7553,121.6247,20.77,40,88,3.32,RU,1690331612
299,jaumave,23.4167,-99.3833,25.06,69,100,1.37,MX,1690331613
300,mareeba,-17.0,145.4333,18.4,94,100,2.37,AU,1690331613
301,strezhevoy,60.7333,77.5889,19.0,70,49,1.54,RU,1690331613
302,hotan,37.0997,79.9269,26.78,34,58,0.12,CN,1690331614
303,katsuren-haebaru,26.3369,127.8719,30.01,83,75,3.09,JP,1690331500
304,xinzhi,36.4989,111.7047,30.05,48,10,3.11,CN,1690331614
305,hilo,19.7297,-155.09,33.49,79,100,4.63,US,1690331613
306,udachny,66.4167,112.4,15.25,82,100,5.45,RU,1690331533
307,crane,31.3974,-102.3501,34.54,21,79,7.18,US,1690331615
308,tres coracoes,-21.6969,-45.2533,17.96,67,79,1.88,BR,1690331615
309,igarka,67.4667,86.5833,20.45,63,1,3.5,RU,1690331616
310,bacliff,29.5069,-94.9924,34.05,68,0,4.12,US,1690331616
311,kavieng,-2.5744,150.7967,27.97,77,100,6.17,PG,1690331617
312,dubbo,-32.25,148.6167,11.07,76,0,3.09,AU,1690331410
313,pangody,65.85,74.4859,19.18,65,100,5.83,RU,1690331617
314,nguruka,-5.1092,31.0419,17.5,47,41,2.38,TZ,1690331617
315,ola,59.5833,151.2833,22.86,82,99,2.73,RU,1690331618
316,barabai,-2.5833,115.3833,27.61,63,0,0.3,ID,1690331618
317,lompoc,34.6391,-120.4579,35.01,68,20,3.6,US,1690331618
